Item Code,Item Name,Item Description,Unit Price
E001,Laptop,14-inch display 8GB RAM 256GB SSD,1200
E002,Smartphone,6.5-inch display 128GB storage,800
E003,Tablet,10-inch display 64GB storage,300
E004,Monitor,24-inch Full HD display,150
E005,Keyboard,Mechanical keyboard with RGB lighting,80
F001,Sofa,3-seater sofa,500
F002,Dining Table,Wooden dining table for 6,350
F003,Chair,Ergonomic office chair,120
F004,Bed,Queen size bed,600
F005,Bookshelf,5-tier bookshelf,100
C001,Running Shoes,Lightweight running shoes,70
C002,T-shirt,Cotton T-shirt,20
C003,Jeans,Denim jeans,50
C004,Jacket,Winter jacket,100
C005,Cap,Baseball cap,15
